Age,Gender,Whatsapp,Instagram,Snapchat,Telegram,Facebook,BeReal,TikTok,WeChat,Twitter,Linkedin,Messages,TotalSocialMediaScreenTime,Number of times opened (hourly intervals),Daily Usage Hours,App Switching Frequency,Notification Response Time,Screen Time Awareness,Social Pressure,FOMO Level,Sleep Quality,Academic Performance,Content Type Preference,Purchase via Social Media,SocialMediaAddiction
18,Male,8.9,7.1,1.9,0.02,0,0,0,0,0,4.5,0.1,22.52,111,6.5,High,Immediate,Low,High,Very High,Poor,Average,Entertainment,Yes,Addicted
19,Female,11.85,11.16,2.45,0.06,0,0,0,0,0,5.5,0.04,31.06,119,7.2,Very High,Immediate,Low,Very High,Very High,Very Poor,Below Average,Entertainment,Yes,Addicted
20,Female,12.25,16.75,3.25,0.01,0,0,0,0,0,9.5,0.01,41.77,124,8,Very High,Immediate,Very Low,Very High,Very High,Very Poor,Below Average,Entertainment,Yes,Addicted
18,Male,12.33,12.9,3.12,0.06,0,0,0,0,0,9,0.2,37.61,121,7.8,High,Immediate,Low,High,Very High,Poor,Average,Entertainment,Yes,Addicted
19,Female,8.5,11.9,1.9,0.05,0,0,0,0,0,7.5,0.1,29.95,116,7,High,Immediate,Low,High,Very High,Poor,Average,Entertainment,Yes,Addicted
20,Male,9.5,11.25,1.2,0.16,0,0,0,0,0,8,0.01,30.12,115,6.8,High,Immediate,Low,High,Very High,Poor,Average,Entertainment,Yes,Addicted
18,Female,8.25,11.75,1.67,0,0,0,0,0,0,6.5,0,28.17,113,6.5,High,Immediate,Low,High,High,Poor,Average,Entertainment,Yes,Addicted
10,Male,5.7,12,2,0.25,0,0.35,0,0,0,2.5,0.2,23,150,5.5,Very High,Immediate,Medium,Medium,High,Fair,Below Average,Entertainment,Yes,Addicted
20,Female,4.5,7.25,1.4,0.35,0,0.21,0,0,0,2.67,0.8,17.18,121,5,High,Moderate,Medium,Medium,High,Fair,Average,Entertainment,No,Addicted
18,Male,6.8,4.5,2.1,0.33,0,0.65,0,0,0,1.55,0.5,16.43,110,4.8,High,Moderate,Medium,Medium,Medium,Fair,Average,Mixed,No,Addicted
19,Female,5.9,3.5,3.25,0.72,0,0.42,0,0,0,1.95,0.4,16.14,85,4.5,Medium,Moderate,Medium,Low,Medium,Good,Good,Mixed,No,Not Addicted
20,Male,5.5,4.5,1.35,0.82,0,0.15,0,0,0,0.85,0.7,13.87,69,4,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
21,Female,6.2,7,2.5,0.96,0,0.14,0,0,0,0.25,0,17.05,200,5.2,High,Immediate,Low,Medium,High,Fair,Average,Entertainment,Yes,Addicted
10,Male,5.7,6.5,2.1,0.59,0,0.32,0,0,0,1.7,0.5,17.41,124,5,High,Moderate,Medium,Medium,Medium,Fair,Average,Entertainment,Yes,Addicted
19,Female,10.5,14.8,12.1,0,0,0,0,0,0.5,2.3,0,40.2,88,6,Very High,Slow,Low,Medium,Very High,Fair,Below Average,Entertainment,Yes,Not Addicted
18,Male,5.2,8,4,0,0,0,0,0,0.2,2,0,19.4,95,5.5,High,Moderate,Medium,Low,Medium,Good,Average,Mixed,No,Not Addicted
20,Female,3.3,4,4.3,0,0,5.4,0,0,1.2,1.5,0,19.7,30,3.5,Medium,Moderate,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
